date,code,open,high,low,close,volume,turn,pctChg
2016-12-30,sh.000001,3257.0260,3279.7130,3068.4150,3103.6370,396593146624,0.135798,-4.504476
2017-01-26,sh.000001,3105.3080,3174.5780,3044.2910,3159.1660,275949067008,0.093907,1.789159
2017-02-28,sh.000001,3160.0810,3264.0810,3132.0330,3241.7330,339804179968,0.115250,2.613570
2017-03-31,sh.000001,3240.0720,3283.2390,3193.1560,3222.5140,411763442432,0.139246,-0.592862
2017-04-28,sh.000001,3235.6600,3295.1870,3097.3330,3154.6580,378945939712,0.127787,-2.105685
2017-05-31,sh.000001,3147.2270,3154.7810,3016.5300,3117.1770,322802120448,0.108477,-1.188116
2017-06-30,sh.000001,3108.4210,3193.4610,3078.7870,3192.4260,320465229312,0.106523,2.414011
2017-07-31,sh.000001,3191.9980,3276.9460,3139.5030,3273.0280,418762365440,0.138072,2.524788
2017-08-31,sh.000001,3274.3680,3376.6480,3200.7480,3360.8100,505986305280,0.165841,2.681981
2017-09-29,sh.000001,3365.9910,3391.6430,3332.5980,3348.9430,423260970240,0.138085,-0.353099
2017-10-31,sh.000001,3403.2450,3421.1020,3357.2760,3393.3410,270673954304,0.087844,1.325732
2017-11-30,sh.000001,3393.9670,3450.4940,3300.7800,3317.1880,398240047104,0.128898,-2.244189
2017-12-29,sh.000001,3315.1050,3324.5160,3254.1770,3307.1720,294122686208,0.094874,-0.301942
2018-01-31,sh.000001,3314.0300,3587.0320,3314.0300,3480.8330,479777123584,0.153419,5.251042
2018-02-28,sh.000001,3478.6700,3495.0930,3062.7420,3259.4080,288895945216,9.214056,-6.361300
2018-03-30,sh.000001,3235.0880,3333.8750,3091.4570,3168.8960,370408412672,0.117423,-2.776946
2018-04-27,sh.000001,3169.7780,3220.8450,3041.6250,3082.2310,269898545152,0.085200,-2.734864
2018-05-31,sh.000001,3087.4080,3219.7390,3041.0000,3095.4730,297928909568,0.093448,0.429624
2018-06-29,sh.000001,3084.7530,3128.7150,2782.3810,2847.4180,262397937664,0.081361,-8.013476
2018-07-31,sh.000001,2841.5790,2915.2970,2691.0200,2876.4000,304909513216,0.092969,1.017834
2018-08-31,sh.000001,2882.5060,2897.3990,2653.1110,2725.2490,282138901504,0.085724,-5.254867
2018-09-28,sh.000001,2716.4030,2827.3410,2644.2960,2821.3500,214835894528,0.065112,3.526320
2018-10-31,sh.000001,2768.2070,2771.9380,2449.1970,2602.7830,274042885120,0.082906,-7.746894
2018-11-30,sh.000001,2617.0320,2703.5110,2555.3220,2588.1870,405282329600,0.122133,-0.560784
2018-12-28,sh.000001,2647.1310,2666.0780,2462.8440,2493.8960,257511940096,7.723802,-3.643129
2019-01-31,sh.000001,2497.8800,2630.3180,2440.9060,2584.5720,338564071424,10.113738,3.635917
2019-02-28,sh.000001,2597.7770,2997.4880,2590.5540,2940.9530,442180830464,13.171925,13.788782
2019-03-29,sh.000001,2954.4020,3129.9390,2930.8340,3090.7580,869192543488,25.856303,5.093757
2019-04-30,sh.000001,3111.6610,3288.4530,3050.0260,3078.3380,748713308672,22.195388,-0.401843
2019-05-31,sh.000001,2984.7270,2986.5390,2833.0360,2898.6960,446512659712,13.160824,-5.835681
2019-06-28,sh.000001,2901.7420,3012.8260,2822.1850,2978.8780,397467750144,11.652634,2.766140
2019-07-31,sh.000001,3024.6230,3048.4830,2879.6900,2932.5050,371851528448,10.849069,-1.556727
2019-08-30,sh.000001,2920.8500,2927.3420,2733.9240,2886.2360,369448176128,10.720549,-1.577798
2019-09-30,sh.000001,2886.9410,3042.9280,2883.6820,2905.1890,394691555072,11.422864,0.656668
2019-10-31,sh.000001,2905.7550,3026.3830,2891.5390,2929.0560,263518111488,8.037918,0.821530
